source_id,stream_id,source_type
1.1.01,st0fd167fd8cbedeebdd773d055184ab,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.02,st7cb1229a93a1bd6cfe5e3279964d8e,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.03,st05c65c0fecb2ef05e8d42f3c3d659d,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.04,std558b3a666e1e5fe2be8f2c72890ce,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.05,st4d48a0eb6f4be9bf7fa369f0b9b77d,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.06,stbc42b66e1cd164368205ca17f87dfd,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.07,sta35c31a3518864624816c078367123,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.08,st902925a90f66f6b73daa76e5893f04,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.09,stfa5d59d931905236edd1c8274cd9d0,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.10,st7f0a2e16d3ba08ba4bdb2365744e88,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.2.11,stf9125f507e97f2233a1bfdf5399164,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1.1.12,st48a8906f7d4fb960897b29635d2d36,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
1,st6b86b273ff34fce19d6b804eff5a3f,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
2,std4735e3a265e16eee03f59718b9b5d,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
3.1.01,std187a5b2d41be8e52dd00c464d2ecc,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
3.1.02,st1f928490fb63a021668c1a7c5938eb,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
3,st4e07408562bedb8b60ce05c1decfe3,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
4,st4b227777d4dd1fc61c6f884f48641d,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
5,stef2d127de37b942baad06145e54b0c,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
6.1.01,st0e42a334ada057e8482ce738e70639,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
6.1.02,stdd9020ef488da6066990518a567bd7,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
6.1.03,sta379fcb7af7ce111299f66a73466a2,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
6.1.04,st7683a37e957e34e1f8cbad388d29ed,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
6.1.05,st6e18ce2b124bd34e5e0a6d1f65dcd2,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
6.1.06,st8d69eefba0da2cd5a6239abfd643b3,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
6,ste7f6c011776e8db7cd330b54174fd7,gsheets:1WE3Sw_ZZ4IyJmcqG5BTTtAMX6qRX0_k8dBlnH2se7dI
